cases,null_hypo,alt_hypo,sims,perms,power
75,0.95,1,5e3,5e4,0.0014
76,0.95,1,5e3,5e4,0.0022
77,0.95,1,5e3,5e4,0.002
78,0.95,1,5e3,5e4,0.002
79,0.95,1,5e3,5e4,0.0018
80,0.95,1,5e3,5e4,0.001
81,0.95,1,5e3,5e4,0.0018
82,0.95,1,5e3,5e4,8e-4
83,0.95,1,5e3,5e4,0.0024
84,0.95,1,5e3,5e4,0.0024
85,0.95,1,5e3,5e4,8e-4
86,0.95,1,5e3,5e4,0.001
87,0.95,1,5e3,5e4,0.0014
88,0.95,1,5e3,5e4,0.0014
89,0.95,1,5e3,5e4,0.0016
90,0.95,1,5e3,5e4,0.0016
91,0.95,1,5e3,5e4,0.0024
92,0.95,1,5e3,5e4,0.0016
93,0.95,1,5e3,5e4,8e-4
94,0.95,1,5e3,5e4,8e-4
95,0.95,1,5e3,5e4,0.002
96,0.95,1,5e3,5e4,0.001
97,0.95,1,5e3,5e4,0.0014
98,0.95,1,5e3,5e4,0.0012
99,0.95,1,5e3,5e4,0.0012
100,0.95,1,5e3,5e4,4e-4
